,Insurer,FY,Category,Gross Premium,Net Premium
1160,Sun Hung Kai,2018,Ships,0,0
1161,Sun Hung Kai,2018,Goods in Transit,58,3
1162,Sun Hung Kai,2018,Property Damage,79429,1308
1163,Sun Hung Kai,2018,Employees Compensation,316245,190215
1164,Sun Hung Kai,2018,Owners Corporation Liability,3472,3239
1165,Sun Hung Kai,2018,Other Business,54506,29702
1166,Sun Hung Kai,2018,Pecuniary Loss,6099,268
1167,Sun Hung Kai,2018,Non-Proportional Treaty Reinsurance,0,0
1168,Sun Hung Kai,2018,Proportional Treaty Reinsurance,0,0
1169,Sun Hung Kai,2018,Total,512263,243973
1170,Swiss Re Int'l SE,2018,Accident & Health,0,0
1171,Swiss Re Int'l SE,2018,Motor Vehicle,0,0
1172,Swiss Re Int'l SE,2018,Aircraft,0,0
1173,Swiss Re Int'l SE,2018,Ships,0,0
1174,Swiss Re Int'l SE,2018,Goods in Transit,0,0
1175,Swiss Re Int'l SE,2018,Property Damage,36355,2194
1176,Swiss Re Int'l SE,2018,Employees Compensation,0,0
1177,Swiss Re Int'l SE,2018,Owners Corporation Liability,0,0
1178,Swiss Re Int'l SE,2018,Other Business,16287,340
1179,Swiss Re Int'l SE,2018,Pecuniary Loss,874,54
1180,Swiss Re Int'l SE,2018,Non-Proportional Treaty Reinsurance,0,0
1181,Swiss Re Int'l SE,2018,Proportional Treaty Reinsurance,0,0
1182,Swiss Re Int'l SE,2018,Total,53516,2588
1183,TPRe,2018,Accident & Health,63381,49770
1184,TPRe,2018,Motor Vehicle,5339,5337
1185,TPRe,2018,Aircraft,1940,1674
1186,TPRe,2018,Ships,22142,9820
1187,TPRe,2018,Goods in Transit,6196,4525
1188,TPRe,2018,Property Damage,225562,133026
1189,TPRe,2018,Employees Compensation,0,0
1190,TPRe,2018,Owners Corporation Liability,0,0
1191,TPRe,2018,Other Business,19427,19393
1192,TPRe,2018,Pecuniary Loss,7505,7123
1193,TPRe,2018,Non-Proportional Treaty Reinsurance,85768,81091
1194,TPRe,2018,Proportional Treaty Reinsurance,336009,275035
1195,TPRe,2018,Total,773269,586794
1196,Target,2018,Accident & Health,1761,1170
1197,Target,2018,Motor Vehicle,427995,369971
1198,Target,2018,Aircraft,0,0
1199,Target,2018,Ships,0,0
1200,Target,2018,Goods in Transit,0,0
1201,Target,2018,Property Damage,616,307
1202,Target,2018,Employees Compensation,21035,18930
1203,Target,2018,Owners Corporation Liability,0,0
1204,Target,2018,Other Business,826,692
1205,Target,2018,Pecuniary Loss,29,15
1206,Target,2018,Non-Proportional Treaty Reinsurance,0,0
1207,Target,2018,Proportional Treaty Reinsurance,0,0
1208,Target,2018,Total,452262,391085
1209,Toa Re,2018,Accident & Health,10238,9657
1210,Toa Re,2018,Motor Vehicle,2121,2026
1211,Toa Re,2018,Aircraft,0,0
1212,Toa Re,2018,Ships,538,523
1213,Toa Re,2018,Goods in Transit,1735,1693
1214,Toa Re,2018,Property Damage,65098,62953
1215,Toa Re,2018,Employees Compensation,0,0
1216,Toa Re,2018,Owners Corporation Liability,0,0
1217,Toa Re,2018,Other Business,29240,27720
1218,Toa Re,2018,Pecuniary Loss,158,158
1219,Toa Re,2018,Non-Proportional Treaty Reinsurance,0,0
1220,Toa Re,2018,Proportional Treaty Reinsurance,0,0
1221,Toa Re,2018,Total,109128,104730
1222,TMF (HK),2018,Accident & Health,67326,65368
1223,TMF (HK),2018,Motor Vehicle,22934,17642
1224,TMF (HK),2018,Aircraft,0,0
1225,TMF (HK),2018,Ships,2376,713
1226,TMF (HK),2018,Goods in Transit,71142,54040
1227,TMF (HK),2018,Property Damage,66511,42225
1228,TMF (HK),2018,Employees Compensation,97757,85444
1229,TMF (HK),2018,Owners Corporation Liability,125,119
1230,TMF (HK),2018,Other Business,35926,26935
1231,TMF (HK),2018,Pecuniary Loss,15888,3510
1232,TMF (HK),2018,Non-Proportional Treaty Reinsurance,0,0
1233,TMF (HK),2018,Proportional Treaty Reinsurance,0,0
1234,TMF (HK),2018,Total,379985,295996
1235,Transatlantic Re,2018,Accident & Health,0,0
1236,Transatlantic Re,2018,Motor Vehicle,123,123
1237,Transatlantic Re,2018,Aircraft,0,0
1238,Transatlantic Re,2018,Ships,0,0
1239,Transatlantic Re,2018,Goods in Transit,0,0
1240,Transatlantic Re,2018,Property Damage,43101,43101
1241,Transatlantic Re,2018,Employees Compensation,0,0
1242,Transatlantic Re,2018,Owners Corporation Liability,0,0
1243,Transatlantic Re,2018,Other Business,5024,5006
1244,Transatlantic Re,2018,Pecuniary Loss,0,0
1245,Transatlantic Re,2018,Non-Proportional Treaty Reinsurance,4168,4168
1246,Transatlantic Re,2018,Proportional Treaty Reinsurance,40060,40060
1247,Transatlantic Re,2018,Total,92476,92458
1248,Trinity,2018,Accident & Health,3238,342
1249,Trinity,2018,Motor Vehicle,132508,119527
1250,Trinity,2018,Aircraft,0,0
1251,Trinity,2018,Ships,0,0
1252,Trinity,2018,Goods in Transit,378,112
1253,Trinity,2018,Property Damage,2668,981
1254,Trinity,2018,Employees Compensation,0,0
1255,Trinity,2018,Owners Corporation Liability,398,359
1256,Trinity,2018,Other Business,382,346
1257,Trinity,2018,Pecuniary Loss,0,0
1258,Trinity,2018,Non-Proportional Treaty Reinsurance,0,0
1259,Trinity,2018,Proportional Treaty Reinsurance,0,0
1260,Trinity,2018,Total,139572,121667
1261,TT Club,2018,Accident & Health,0,0
1262,TT Club,2018,Motor Vehicle,0,0
1263,TT Club,2018,Aircraft,0,0
1264,TT Club,2018,Ships,0,0
1265,TT Club,2018,Goods in Transit,0,0
1266,TT Club,2018,Property Damage,1938,382
1267,TT Club,2018,Employees Compensation,0,0
1268,TT Club,2018,Owners Corporation Liability,0,0
1269,TT Club,2018,Other Business,220679,31201
1270,TT Club,2018,Pecuniary Loss,0,0
1271,TT Club,2018,Non-Proportional Treaty Reinsurance,0,0
1272,TT Club,2018,Proportional Treaty Reinsurance,0,0
1273,TT Club,2018,Total,222617,31583
1274,Tugu,2018,Accident & Health,82,47
1275,Tugu,2018,Motor Vehicle,2713,2205
1276,Tugu,2018,Aircraft,0,0
1277,Tugu,2018,Ships,4251,3738
1278,Tugu,2018,Goods in Transit,3494,1045
1279,Tugu,2018,Property Damage,40973,11430
1280,Tugu,2018,Employees Compensation,1462,-472
1281,Tugu,2018,Owners Corporation Liability,50,38
1282,Tugu,2018,Other Business,759,408
1283,Tugu,2018,Pecuniary Loss,6766,318
1284,Tugu,2018,Non-Proportional Treaty Reinsurance,0,0
1285,Tugu,2018,Proportional Treaty Reinsurance,0,0
1286,Tugu,2018,Total,60550,18757
1287,United Builders,2018,Accident & Health,53,34
1288,United Builders,2018,Motor Vehicle,0,0
1289,United Builders,2018,Aircraft,0,0
1290,United Builders,2018,Ships,0,0
1291,United Builders,2018,Goods in Transit,0,0
1292,United Builders,2018,Property Damage,289,83
1293,United Builders,2018,Employees Compensation,9519,6624
1294,United Builders,2018,Owners Corporation Liability,9,9
1295,United Builders,2018,Other Business,1612,657
1296,United Builders,2018,Pecuniary Loss,1,1
1297,United Builders,2018,Non-Proportional Treaty Reinsurance,0,0
1298,United Builders,2018,Proportional Treaty Reinsurance,0,0
1299,United Builders,2018,Total,11483,7408
1300,UK P&I Club (Europe),2018,Accident & Health,0,0
1301,UK P&I Club (Europe),2018,Motor Vehicle,0,0
1302,UK P&I Club (Europe),2018,Aircraft,0,0
1303,UK P&I Club (Europe),2018,Ships,65683,17111
1304,UK P&I Club (Europe),2018,Goods in Transit,0,0
1305,UK P&I Club (Europe),2018,Property Damage,0,0
1306,UK P&I Club (Europe),2018,Employees Compensation,0,0
1307,UK P&I Club (Europe),2018,Owners Corporation Liability,0,0
1308,UK P&I Club (Europe),2018,Other Business,0,0
1309,UK P&I Club (Europe),2018,Pecuniary Loss,0,0
1310,UK P&I Club (Europe),2018,Non-Proportional Treaty Reinsurance,0,0
1311,UK P&I Club (Europe),2018,Proportional Treaty Reinsurance,0,0
1312,UK P&I Club (Europe),2018,Total,65683,17111
1313,Well Link Insurance,2018,Accident & Health,1917,1044
1314,Well Link Insurance,2018,Motor Vehicle,56870,32529
1315,Well Link Insurance,2018,Aircraft,0,0
1316,Well Link Insurance,2018,Ships,0,0
1317,Well Link Insurance,2018,Goods in Transit,0,0
1318,Well Link Insurance,2018,Property Damage,518,271
1319,Well Link Insurance,2018,Employees Compensation,3211,2997
1320,Well Link Insurance,2018,Owners Corporation Liability,3,2
1321,Well Link Insurance,2018,Other Business,1048,911
1322,Well Link Insurance,2018,Pecuniary Loss,0,0
1323,Well Link Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
1324,Well Link Insurance,2018,Proportional Treaty Reinsurance,0,0
1325,Well Link Insurance,2018,Total,63567,37754
1326,West of England ,2018,Accident & Health,0,0
1327,West of England ,2018,Motor Vehicle,0,0
1328,West of England ,2018,Aircraft,0,0
1329,West of England ,2018,Ships,463910,136315
1330,West of England ,2018,Goods in Transit,0,0
1331,West of England ,2018,Property Damage,0,0
1332,West of England ,2018,Employees Compensation,0,0
1333,West of England ,2018,Owners Corporation Liability,0,0
1334,West of England ,2018,Other Business,0,0
1335,West of England ,2018,Pecuniary Loss,0,0
1336,West of England ,2018,Non-Proportional Treaty Reinsurance,0,0
1337,West of England ,2018,Proportional Treaty Reinsurance,0,0
1338,West of England ,2018,Total,463910,136315
1339,XL Insurance,2018,Accident & Health,8198,3093
1340,XL Insurance,2018,Motor Vehicle,0,0
1341,XL Insurance,2018,Aircraft,0,0
1342,XL Insurance,2018,Ships,94193,21899
1343,XL Insurance,2018,Goods in Transit,70356,24916
1344,XL Insurance,2018,Property Damage,424566,64790
1345,XL Insurance,2018,Employees Compensation,0,0
1346,XL Insurance,2018,Owners Corporation Liability,0,0
1347,XL Insurance,2018,Other Business,275650,55006
1348,XL Insurance,2018,Pecuniary Loss,10536,-304
1349,XL Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
1350,XL Insurance,2018,Proportional Treaty Reinsurance,0,0
1351,XL Insurance,2018,Total,883499,169400
1352,ZGIHK,2018,Accident & Health,0,0
1353,ZGIHK,2018,Motor Vehicle,0,0
1354,ZGIHK,2018,Aircraft,0,0
1355,ZGIHK,2018,Ships,0,0
1356,ZGIHK,2018,Goods in Transit,0,0
1357,ZGIHK,2018,Property Damage,0,0
1358,ZGIHK,2018,Employees Compensation,0,0
1359,ZGIHK,2018,Owners Corporation Liability,0,0
1360,ZGIHK,2018,Other Business,0,0
1361,ZGIHK,2018,Pecuniary Loss,0,0
1362,ZGIHK,2018,Non-Proportional Treaty Reinsurance,0,0
1363,ZGIHK,2018,Proportional Treaty Reinsurance,0,0
1364,ZGIHK,2018,Total,0,0
1365,Zurich Insurance,2018,Accident & Health,562670,372577
1366,Zurich Insurance,2018,Motor Vehicle,283343,177003
1367,Zurich Insurance,2018,Aircraft,0,0
1368,Zurich Insurance,2018,Ships,7714,4914
1369,Zurich Insurance,2018,Goods in Transit,40803,18431
1370,Zurich Insurance,2018,Property Damage,316509,150117
1371,Zurich Insurance,2018,Employees Compensation,707282,459265
1372,Zurich Insurance,2018,Owners Corporation Liability,5703,3834
1373,Zurich Insurance,2018,Other Business,345857,140924
1374,Zurich Insurance,2018,Pecuniary Loss,78667,14518
1375,Zurich Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
1376,Zurich Insurance,2018,Proportional Treaty Reinsurance,0,0
1377,Zurich Insurance,2018,Total,2348548,1341583
0,ABCI,2019,Accident & Health,2234,668
1,ABCI,2019,Motor Vehicle,27058,918
2,ABCI,2019,Aircraft,0,0
3,ABCI,2019,Ships,0,0
4,ABCI,2019,Goods in Transit,8603,890
5,ABCI,2019,Property Damage,181460,27894
6,ABCI,2019,Employees Compensation,12012,9995
7,ABCI,2019,Owners Corporation Liability,1371,92
8,ABCI,2019,Other Business,10085,2924
9,ABCI,2019,Pecuniary Loss,1410,259
10,ABCI,2019,Non-Proportional Treaty Reinsurance,0,0
11,ABCI,2019,Proportional Treaty Reinsurance,0,0
12,ABCI,2019,Total,244233,43640
13,Aetna,2019,Accident & Health,306570,302427
14,Aetna,2019,Motor Vehicle,0,0
15,Aetna,2019,Aircraft,0,0
16,Aetna,2019,Ships,0,0
17,Aetna,2019,Goods in Transit,0,0
18,Aetna,2019,Property Damage,0,0
19,Aetna,2019,Employees Compensation,0,0
20,Aetna,2019,Owners Corporation Liability,0,0
21,Aetna,2019,Other Business,0,0
22,Aetna,2019,Pecuniary Loss,0,0
23,Aetna,2019,Non-Proportional Treaty Reinsurance,0,0
24,Aetna,2019,Proportional Treaty Reinsurance,0,0
25,Aetna,2019,Total,306570,302427
26,AIA (HK),2019,Accident & Health,128145,128144
27,AIA (HK),2019,Motor Vehicle,0,0
28,AIA (HK),2019,Aircraft,0,0
29,AIA (HK),2019,Ships,0,0
30,AIA (HK),2019,Goods in Transit,0,0
31,AIA (HK),2019,Property Damage,14971,14971
32,AIA (HK),2019,Employees Compensation,1725,1725
33,AIA (HK),2019,Owners Corporation Liability,0,0
34,AIA (HK),2019,Other Business,3814,3814
35,AIA (HK),2019,Pecuniary Loss,0,0
36,AIA (HK),2019,Non-Proportional Treaty Reinsurance,0,0
37,AIA (HK),2019,Proportional Treaty Reinsurance,0,0
38,AIA (HK),2019,Total,148655,148654
39,AIA International,2019,Accident & Health,1685056,1310373
40,AIA International,2019,Motor Vehicle,0,0
41,AIA International,2019,Aircraft,0,0
42,AIA International,2019,Ships,0,0
43,AIA International,2019,Goods in Transit,0,0
44,AIA International,2019,Property Damage,0,0
45,AIA International,2019,Employees Compensation,0,0
46,AIA International,2019,Owners Corporation Liability,0,0
47,AIA International,2019,Other Business,0,0
48,AIA International,2019,Pecuniary Loss,0,0
49,AIA International,2019,Non-Proportional Treaty Reinsurance,0,0
50,AIA International,2019,Proportional Treaty Reinsurance,0,0
51,AIA International,2019,Total,1685056,1310373
52,AIG Insurance HK,2019,Accident & Health,330668,139553
53,AIG Insurance HK,2019,Motor Vehicle,182649,67969
54,AIG Insurance HK,2019,Aircraft,0,0
55,AIG Insurance HK,2019,Ships,1109,472
56,AIG Insurance HK,2019,Goods in Transit,24431,9491
57,AIG Insurance HK,2019,Property Damage,247082,71683
58,AIG Insurance HK,2019,Employees Compensation,584336,252701
59,AIG Insurance HK,2019,Owners Corporation Liability,146,66
60,AIG Insurance HK,2019,Other Business,158946,62070
61,AIG Insurance HK,2019,Pecuniary Loss,384388,148586
62,AIG Insurance HK,2019,Non-Proportional Treaty Reinsurance,0,0
63,AIG Insurance HK,2019,Proportional Treaty Reinsurance,0,0
64,AIG Insurance HK,2019,Total,1913755,752591
65,AGCS SE,2019,Accident & Health,26312,1437
66,AGCS SE,2019,Motor Vehicle,189847,0
67,AGCS SE,2019,Aircraft,116,0
68,AGCS SE,2019,Ships,590,486
69,AGCS SE,2019,Goods in Transit,3342,1632
70,AGCS SE,2019,Property Damage,229524,125638
71,AGCS SE,2019,Employees Compensation,149277,149222
72,AGCS SE,2019,Owners Corporation Liability,184,184
73,AGCS SE,2019,Other Business,308657,272074
74,AGCS SE,2019,Pecuniary Loss,20770,12256
75,AGCS SE,2019,Non-Proportional Treaty Reinsurance,0,0
76,AGCS SE,2019,Proportional Treaty Reinsurance,0,0
77,AGCS SE,2019,Total,928619,562929
78,Allied World,2019,Accident & Health,66465,63923
79,Allied World,2019,Motor Vehicle,262353,177296
80,Allied World,2019,Aircraft,0,0
81,Allied World,2019,Ships,0,0
82,Allied World,2019,Goods in Transit,56244,51492
83,Allied World,2019,Property Damage,236440,73138
84,Allied World,2019,Employees Compensation,203534,200718
85,Allied World,2019,Owners Corporation Liability,49,49
86,Allied World,2019,Other Business,172673,113484
87,Allied World,2019,Pecuniary Loss,9034,6045
88,Allied World,2019,Non-Proportional Treaty Reinsurance,0,0
89,Allied World,2019,Proportional Treaty Reinsurance,0,0
90,Allied World,2019,Total,1006792,686145
91,Arch MI Asia,2019,Accident & Health,0,0
92,Arch MI Asia,2019,Motor Vehicle,0,0
93,Arch MI Asia,2019,Aircraft,0,0
94,Arch MI Asia,2019,Ships,0,0
95,Arch MI Asia,2019,Goods in Transit,0,0
96,Arch MI Asia,2019,Property Damage,0,0
97,Arch MI Asia,2019,Employees Compensation,0,0
98,Arch MI Asia,2019,Owners Corporation Liability,0,0
99,Arch MI Asia,2019,Other Business,0,0
100,Arch MI Asia,2019,Pecuniary Loss,18365,18365
101,Arch MI Asia,2019,Non-Proportional Treaty Reinsurance,0,0
102,Arch MI Asia,2019,Proportional Treaty Reinsurance,0,0
103,Arch MI Asia,2019,Total,18365,18365
104,Asia Capital Re,2019,Accident & Health,47125,47125
105,Asia Capital Re,2019,Motor Vehicle,0,0
106,Asia Capital Re,2019,Aircraft,0,0
107,Asia Capital Re,2019,Ships,17556,17003
108,Asia Capital Re,2019,Goods in Transit,-2934,-2695
109,Asia Capital Re,2019,Property Damage,72356,57052
110,Asia Capital Re,2019,Employees Compensation,0,0
111,Asia Capital Re,2019,Owners Corporation Liability,0,0
112,Asia Capital Re,2019,Other Business,5781,5694
113,Asia Capital Re,2019,Pecuniary Loss,417,316
114,Asia Capital Re,2019,Non-Proportional Treaty Reinsurance,0,0
115,Asia Capital Re,2019,Proportional Treaty Reinsurance,0,0
116,Asia Capital Re,2019,Total,140301,124495
117,Asia Insurance,2019,Accident & Health,117822,78005
118,Asia Insurance,2019,Motor Vehicle,258507,146270
119,Asia Insurance,2019,Aircraft,2868,2868
120,Asia Insurance,2019,Ships,27878,11436
121,Asia Insurance,2019,Goods in Transit,17252,11184
122,Asia Insurance,2019,Property Damage,498319,250005
123,Asia Insurance,2019,Employees Compensation,522844,451814
124,Asia Insurance,2019,Owners Corporation Liability,4048,1577
125,Asia Insurance,2019,Other Business,161348,62633
126,Asia Insurance,2019,Pecuniary Loss,47991,26985
127,Asia Insurance,2019,Non-Proportional Treaty Reinsurance,0,0
128,Asia Insurance,2019,Proportional Treaty Reinsurance,0,0
129,Asia Insurance,2019,Total,1658877,1042777
130,ASIA-PACIFIC P&C,2019,Accident & Health,4376,3614
131,ASIA-PACIFIC P&C,2019,Motor Vehicle,0,0
132,ASIA-PACIFIC P&C,2019,Aircraft,302,302
133,ASIA-PACIFIC P&C,2019,Ships,84,30
134,ASIA-PACIFIC P&C,2019,Goods in Transit,679,670
135,ASIA-PACIFIC P&C,2019,Property Damage,36257,17944
136,ASIA-PACIFIC P&C,2019,Employees Compensation,0,0
137,ASIA-PACIFIC P&C,2019,Owners Corporation Liability,0,0
138,ASIA-PACIFIC P&C,2019,Other Business,1289,1161
139,ASIA-PACIFIC P&C,2019,Pecuniary Loss,311,116
140,ASIA-PACIFIC P&C,2019,Non-Proportional Treaty Reinsurance,0,0
141,ASIA-PACIFIC P&C,2019,Proportional Treaty Reinsurance,0,0
142,ASIA-PACIFIC P&C,2019,Total,43298,23837
143,Generali,2019,Accident & Health,655618,605879
144,Generali,2019,Motor Vehicle,56,56
145,Generali,2019,Aircraft,0,0
146,Generali,2019,Ships,22018,21502
147,Generali,2019,Goods in Transit,31839,30854
148,Generali,2019,Property Damage,372952,289984
149,Generali,2019,Employees Compensation,118109,73725
150,Generali,2019,Owners Corporation Liability,1,1
151,Generali,2019,Other Business,208491,197763
152,Generali,2019,Pecuniary Loss,45982,40884
153,Generali,2019,Non-Proportional Treaty Reinsurance,0,0
154,Generali,2019,Proportional Treaty Reinsurance,0,0
155,Generali,2019,Total,1455066,1260648
156,Gard P&I,2019,Accident & Health,0,0
157,Gard P&I,2019,Motor Vehicle,0,0
158,Gard P&I,2019,Aircraft,0,0
159,Gard P&I,2019,Ships,316683,166593
160,Gard P&I,2019,Goods in Transit,0,0
161,Gard P&I,2019,Property Damage,0,0
162,Gard P&I,2019,Employees Compensation,0,0
163,Gard P&I,2019,Owners Corporation Liability,0,0
164,Gard P&I,2019,Other Business,0,0
165,Gard P&I,2019,Pecuniary Loss,0,0
166,Gard P&I,2019,Non-Proportional Treaty Reinsurance,0,0
167,Gard P&I,2019,Proportional Treaty Reinsurance,0,0
168,Gard P&I,2019,Total,316683,166593
169,Skuld,2019,Accident & Health,0,0
170,Skuld,2019,Motor Vehicle,0,0
171,Skuld,2019,Aircraft,0,0
172,Skuld,2019,Ships,337266,105545
173,Skuld,2019,Goods in Transit,0,0
174,Skuld,2019,Property Damage,0,0
175,Skuld,2019,Employees Compensation,0,0
176,Skuld,2019,Owners Corporation Liability,0,0
177,Skuld,2019,Other Business,0,0
178,Skuld,2019,Pecuniary Loss,0,0
179,Skuld,2019,Non-Proportional Treaty Reinsurance,0,0
180,Skuld,2019,Proportional Treaty Reinsurance,0,0
181,Skuld,2019,Total,337266,105545
182,ACyC,2019,Accident & Health,0,0
183,ACyC,2019,Motor Vehicle,0,0
184,ACyC,2019,Aircraft,0,0
185,ACyC,2019,Ships,0,0
186,ACyC,2019,Goods in Transit,0,0
187,ACyC,2019,Property Damage,0,0
188,ACyC,2019,Employees Compensation,0,0
189,ACyC,2019,Owners Corporation Liability,0,0
190,ACyC,2019,Other Business,0,0
191,ACyC,2019,Pecuniary Loss,101180,40223
192,ACyC,2019,Non-Proportional Treaty Reinsurance,0,0
193,ACyC,2019,Proportional Treaty Reinsurance,0,0
194,ACyC,2019,Total,101180,40223
195,Avo Insurance,2019,Accident & Health,32,20
196,Avo Insurance,2019,Motor Vehicle,0,0
197,Avo Insurance,2019,Aircraft,0,0
198,Avo Insurance,2019,Ships,0,0
199,Avo Insurance,2019,Goods in Transit,0,0
200,Avo Insurance,2019,Property Damage,300,300
201,Avo Insurance,2019,Employees Compensation,0,0
202,Avo Insurance,2019,Owners Corporation Liability,0,0
203,Avo Insurance,2019,Other Business,0,0
204,Avo Insurance,2019,Pecuniary Loss,3,1
205,Avo Insurance,2019,Non-Proportional Treaty Reinsurance,0,0
206,Avo Insurance,2019,Proportional Treaty Reinsurance,0,0
207,Avo Insurance,2019,Total,335,321
208,AXA China (Bermuda),2019,Accident & Health,27,27
209,AXA China (Bermuda),2019,Motor Vehicle,0,0
210,AXA China (Bermuda),2019,Aircraft,0,0
211,AXA China (Bermuda),2019,Ships,0,0
212,AXA China (Bermuda),2019,Goods in Transit,0,0
213,AXA China (Bermuda),2019,Property Damage,49,49
214,AXA China (Bermuda),2019,Employees Compensation,0,0
215,AXA China (Bermuda),2019,Owners Corporation Liability,1,1
216,AXA China (Bermuda),2019,Other Business,4,4
217,AXA China (Bermuda),2019,Pecuniary Loss,0,0
218,AXA China (Bermuda),2019,Non-Proportional Treaty Reinsurance,0,0
219,AXA China (Bermuda),2019,Proportional Treaty Reinsurance,0,0
220,AXA China (Bermuda),2019,Total,81,81
221,AXA China (HK),2019,Accident & Health,1109742,679524
222,AXA China (HK),2019,Motor Vehicle,0,0
223,AXA China (HK),2019,Aircraft,0,0
224,AXA China (HK),2019,Ships,0,0
225,AXA China (HK),2019,Goods in Transit,0,0
226,AXA China (HK),2019,Property Damage,0,0
227,AXA China (HK),2019,Employees Compensation,0,0
228,AXA China (HK),2019,Owners Corporation Liability,0,0
229,AXA China (HK),2019,Other Business,0,0
230,AXA China (HK),2019,Pecuniary Loss,0,0
231,AXA China (HK),2019,Non-Proportional Treaty Reinsurance,0,0
232,AXA China (HK),2019,Proportional Treaty Reinsurance,0,0
233,AXA China (HK),2019,Total,1109742,679524
234,AXA CS,2019,Accident & Health,0,0
235,AXA CS,2019,Motor Vehicle,0,0
236,AXA CS,2019,Aircraft,0,0
237,AXA CS,2019,Ships,33250,31423
238,AXA CS,2019,Goods in Transit,140626,76019
239,AXA CS,2019,Property Damage,40259,28619
240,AXA CS,2019,Employees Compensation,0,0
241,AXA CS,2019,Owners Corporation Liability,0,0
242,AXA CS,2019,Other Business,6366,3709
243,AXA CS,2019,Pecuniary Loss,0,0
244,AXA CS,2019,Non-Proportional Treaty Reinsurance,0,0
245,AXA CS,2019,Proportional Treaty Reinsurance,0,0
246,AXA CS,2019,Total,220501,139770
247,AXA General,2019,Accident & Health,2284002,1698955
248,AXA General,2019,Motor Vehicle,423083,417100
249,AXA General,2019,Aircraft,0,0
250,AXA General,2019,Ships,20865,19118
251,AXA General,2019,Goods in Transit,81414,68380
252,AXA General,2019,Property Damage,771859,464405
253,AXA General,2019,Employees Compensation,524140,518248
254,AXA General,2019,Owners Corporation Liability,1514,1501
255,AXA General,2019,Other Business,183118,167741
256,AXA General,2019,Pecuniary Loss,19083,6929
257,AXA General,2019,Non-Proportional Treaty Reinsurance,0,0
258,AXA General,2019,Proportional Treaty Reinsurance,0,0
259,AXA General,2019,Total,4309078,3362377
260,AXA Life,2019,Accident & Health,0,0
261,AXA Life,2019,Motor Vehicle,0,0
262,AXA Life,2019,Aircraft,0,0
263,AXA Life,2019,Ships,0,0
264,AXA Life,2019,Goods in Transit,0,0
265,AXA Life,2019,Property Damage,0,0
266,AXA Life,2019,Employees Compensation,0,0
267,AXA Life,2019,Owners Corporation Liability,0,0
268,AXA Life,2019,Other Business,0,0
269,AXA Life,2019,Pecuniary Loss,0,0
270,AXA Life,2019,Non-Proportional Treaty Reinsurance,0,0
271,AXA Life,2019,Proportional Treaty Reinsurance,0,0
272,AXA Life,2019,Total,0,0
273,BOC Group Insurance,2019,Accident & Health,734115,547158
274,BOC Group Insurance,2019,Motor Vehicle,286508,276631
275,BOC Group Insurance,2019,Aircraft,2467,2257
276,BOC Group Insurance,2019,Ships,51629,43509
277,BOC Group Insurance,2019,Goods in Transit,15856,14194
278,BOC Group Insurance,2019,Property Damage,356744,203373
279,BOC Group Insurance,2019,Employees Compensation,322568,282843
280,BOC Group Insurance,2019,Owners Corporation Liability,2367,2199
281,BOC Group Insurance,2019,Other Business,87361,62112
282,BOC Group Insurance,2019,Pecuniary Loss,30656,23543
283,BOC Group Insurance,2019,Non-Proportional Treaty Reinsurance,0,0
284,BOC Group Insurance,2019,Proportional Treaty Reinsurance,0,0
285,BOC Group Insurance,2019,Total,1890271,1457819
286,BC Re,2019,Accident & Health,813,792
287,BC Re,2019,Motor Vehicle,6160,6160
288,BC Re,2019,Aircraft,0,0
289,BC Re,2019,Ships,94,94
290,BC Re,2019,Goods in Transit,127,100
291,BC Re,2019,Property Damage,9162,6778
292,BC Re,2019,Employees Compensation,0,0
293,BC Re,2019,Owners Corporation Liability,0,0
294,BC Re,2019,Other Business,16759,15186
295,BC Re,2019,Pecuniary Loss,1648,1677
296,BC Re,2019,Non-Proportional Treaty Reinsurance,35336,27764
297,BC Re,2019,Proportional Treaty Reinsurance,77754,72086
298,BC Re,2019,Total,147853,130637
299,BE Re,2019,Accident & Health,808,802
300,BE Re,2019,Motor Vehicle,419,415
301,BE Re,2019,Aircraft,0,0
302,BE Re,2019,Ships,95,95
303,BE Re,2019,Goods in Transit,118,103
304,BE Re,2019,Property Damage,12718,11158
305,BE Re,2019,Employees Compensation,0,0
306,BE Re,2019,Owners Corporation Liability,0,0
307,BE Re,2019,Other Business,14947,14886
308,BE Re,2019,Pecuniary Loss,1635,1635
309,BE Re,2019,Non-Proportional Treaty Reinsurance,25479,23245
310,BE Re,2019,Proportional Treaty Reinsurance,81125,77578
311,BE Re,2019,Total,137344,129917
312,Berkley Insurance,2019,Accident & Health,5475,5105
313,Berkley Insurance,2019,Motor Vehicle,4207,3897
314,Berkley Insurance,2019,Aircraft,0,0
315,Berkley Insurance,2019,Ships,702,332
316,Berkley Insurance,2019,Goods in Transit,11630,4855
317,Berkley Insurance,2019,Property Damage,6731,6641
318,Berkley Insurance,2019,Employees Compensation,0,0
319,Berkley Insurance,2019,Owners Corporation Liability,0,0
320,Berkley Insurance,2019,Other Business,118514,106927
321,Berkley Insurance,2019,Pecuniary Loss,891,827
322,Berkley Insurance,2019,Non-Proportional Treaty Reinsurance,0,0
