,Insurer,FY,Category,Gross Claims Paid,Net Claims Paid
321,Berkley Insurance,2019,Pecuniary Loss,117,117
322,Berkley Insurance,2019,Non-Proportional Treaty Reinsurance,0,0
323,Berkley Insurance,2019,Proportional Treaty Reinsurance,0,0
324,Berkley Insurance,2019,Total,36968,31622
325,BHSI,2019,Accident & Health,23324,4664
326,BHSI,2019,Motor Vehicle,605,121
327,BHSI,2019,Aircraft,0,0
328,BHSI,2019,Ships,0,0
329,BHSI,2019,Goods in Transit,939,188
330,BHSI,2019,Property Damage,8006,1601
331,BHSI,2019,Employees Compensation,83507,16701
332,BHSI,2019,Owners Corporation Liability,0,0
333,BHSI,2019,Other Business,1171,235
334,BHSI,2019,Pecuniary Loss,7699,1539
335,BHSI,2019,Non-Proportional Treaty Reinsurance,0,0
336,BHSI,2019,Proportional Treaty Reinsurance,0,0
337,BHSI,2019,Total,125251,25049
338,Blue Cross,2019,Accident & Health,886293,868680
339,Blue Cross,2019,Motor Vehicle,869,79
340,Blue Cross,2019,Aircraft,0,0
341,Blue Cross,2019,Ships,0,0
342,Blue Cross,2019,Goods in Transit,0,0
343,Blue Cross,2019,Property Damage,16168,7191
344,Blue Cross,2019,Employees Compensation,19714,19353
345,Blue Cross,2019,Owners Corporation Liability,0,0
346,Blue Cross,2019,Other Business,6874,6701
347,Blue Cross,2019,Pecuniary Loss,5232,5203
348,Blue Cross,2019,Non-Proportional Treaty Reinsurance,0,0
349,Blue Cross,2019,Proportional Treaty Reinsurance,0,0
350,Blue Cross,2019,Total,935150,907207
351,Britannia P&I,2019,Accident & Health,0,0
352,Britannia P&I,2019,Motor Vehicle,0,0
353,Britannia P&I,2019,Aircraft,0,0
354,Britannia P&I,2019,Ships,0,0
355,Britannia P&I,2019,Goods in Transit,0,0
356,Britannia P&I,2019,Property Damage,0,0
357,Britannia P&I,2019,Employees Compensation,0,0
358,Britannia P&I,2019,Owners Corporation Liability,0,0
359,Britannia P&I,2019,Other Business,0,0
360,Britannia P&I,2019,Pecuniary Loss,0,0
361,Britannia P&I,2019,Non-Proportional Treaty Reinsurance,0,0
362,Britannia P&I,2019,Proportional Treaty Reinsurance,0,0
363,Britannia P&I,2019,Total,0,0
364,Bupa,2019,Accident & Health,2748202,2381943
365,Bupa,2019,Motor Vehicle,0,0
366,Bupa,2019,Aircraft,0,0
367,Bupa,2019,Ships,0,0
368,Bupa,2019,Goods in Transit,0,0
369,Bupa,2019,Property Damage,0,0
370,Bupa,2019,Employees Compensation,0,0
371,Bupa,2019,Owners Corporation Liability,0,0
372,Bupa,2019,Other Business,0,0
373,Bupa,2019,Pecuniary Loss,0,0
374,Bupa,2019,Non-Proportional Treaty Reinsurance,0,0
375,Bupa,2019,Proportional Treaty Reinsurance,0,0
376,Bupa,2019,Total,2748202,2381943
377,California Insurance,2019,Accident & Health,5175,2639
378,California Insurance,2019,Motor Vehicle,863,863
379,California Insurance,2019,Aircraft,0,0
380,California Insurance,2019,Ships,0,0
381,California Insurance,2019,Goods in Transit,0,0
382,California Insurance,2019,Property Damage,22,18
383,California Insurance,2019,Employees Compensation,18234,15621
384,California Insurance,2019,Owners Corporation Liability,0,0
385,California Insurance,2019,Other Business,3368,31
386,California Insurance,2019,Pecuniary Loss,159,159
387,California Insurance,2019,Non-Proportional Treaty Reinsurance,0,0
388,California Insurance,2019,Proportional Treaty Reinsurance,0,0
389,California Insurance,2019,Total,27821,19331
390,CGN Captive,2019,Accident & Health,0,0
391,CGN Captive,2019,Motor Vehicle,0,0
392,CGN Captive,2019,Aircraft,0,0
393,CGN Captive,2019,Ships,0,0
394,CGN Captive,2019,Goods in Transit,0,0
395,CGN Captive,2019,Property Damage,15338,0
396,CGN Captive,2019,Employees Compensation,0,0
397,CGN Captive,2019,Owners Corporation Liability,0,0
398,CGN Captive,2019,Other Business,507,507
399,CGN Captive,2019,Pecuniary Loss,0,0
400,CGN Captive,2019,Non-Proportional Treaty Reinsurance,0,0
401,CGN Captive,2019,Proportional Treaty Reinsurance,0,0
402,CGN Captive,2019,Total,15845,507
403,Chevalier,2019,Accident & Health,22,22
404,Chevalier,2019,Motor Vehicle,455,431
405,Chevalier,2019,Aircraft,0,0
406,Chevalier,2019,Ships,0,0
407,Chevalier,2019,Goods in Transit,25,7
408,Chevalier,2019,Property Damage,11421,10533
409,Chevalier,2019,Employees Compensation,56168,46742
410,Chevalier,2019,Owners Corporation Liability,0,0
411,Chevalier,2019,Other Business,2310,2240
412,Chevalier,2019,Pecuniary Loss,1,1
413,Chevalier,2019,Non-Proportional Treaty Reinsurance,0,0
414,Chevalier,2019,Proportional Treaty Reinsurance,0,0
415,Chevalier,2019,Total,70402,59976
416,China BOCOM,2019,Accident & Health,15102,253
417,China BOCOM,2019,Motor Vehicle,96,41
418,China BOCOM,2019,Aircraft,0,0
419,China BOCOM,2019,Ships,217,1
420,China BOCOM,2019,Goods in Transit,0,0
421,China BOCOM,2019,Property Damage,66851,1435
422,China BOCOM,2019,Employees Compensation,16674,6063
423,China BOCOM,2019,Owners Corporation Liability,0,0
424,China BOCOM,2019,Other Business,15451,323
425,China BOCOM,2019,Pecuniary Loss,9,1
426,China BOCOM,2019,Non-Proportional Treaty Reinsurance,0,0
427,China BOCOM,2019,Proportional Treaty Reinsurance,0,0
428,China BOCOM,2019,Total,114400,8117
429,China Merchants,2019,Accident & Health,17001,16248
430,China Merchants,2019,Motor Vehicle,11001,11001
431,China Merchants,2019,Aircraft,0,0
432,China Merchants,2019,Ships,3046,391
433,China Merchants,2019,Goods in Transit,334,263
434,China Merchants,2019,Property Damage,7738,2237
435,China Merchants,2019,Employees Compensation,9211,9021
436,China Merchants,2019,Owners Corporation Liability,0,0
437,China Merchants,2019,Other Business,1342,1315
438,China Merchants,2019,Pecuniary Loss,0,0
439,China Merchants,2019,Non-Proportional Treaty Reinsurance,0,0
440,China Merchants,2019,Proportional Treaty Reinsurance,0,0
441,China Merchants,2019,Total,49673,40476
442,China Overseas Insurance,2019,Accident & Health,0,0
443,China Overseas Insurance,2019,Motor Vehicle,940,742
444,China Overseas Insurance,2019,Aircraft,0,0
445,China Overseas Insurance,2019,Ships,0,0
446,China Overseas Insurance,2019,Goods in Transit,0,0
447,China Overseas Insurance,2019,Property Damage,4669,28
448,China Overseas Insurance,2019,Employees Compensation,157667,151962
449,China Overseas Insurance,2019,Owners Corporation Liability,0,0
450,China Overseas Insurance,2019,Other Business,2673,52
451,China Overseas Insurance,2019,Pecuniary Loss,0,0
452,China Overseas Insurance,2019,Non-Proportional Treaty Reinsurance,0,0
453,China Overseas Insurance,2019,Proportional Treaty Reinsurance,0,0
454,China Overseas Insurance,2019,Total,165949,152784
455,China Pacific,2019,Accident & Health,404,373
456,China Pacific,2019,Motor Vehicle,22175,16027
457,China Pacific,2019,Aircraft,5674,2398
458,China Pacific,2019,Ships,748,748
459,China Pacific,2019,Goods in Transit,327,112
460,China Pacific,2019,Property Damage,38753,4432
461,China Pacific,2019,Employees Compensation,3014,2575
462,China Pacific,2019,Owners Corporation Liability,25,3
463,China Pacific,2019,Other Business,6427,1040
464,China Pacific,2019,Pecuniary Loss,0,0
465,China Pacific,2019,Non-Proportional Treaty Reinsurance,0,0
466,China Pacific,2019,Proportional Treaty Reinsurance,0,0
467,China Pacific,2019,Total,77547,27708
468,China Ping An,2019,Accident & Health,1143,604
469,China Ping An,2019,Motor Vehicle,161349,109243
470,China Ping An,2019,Aircraft,0,0
471,China Ping An,2019,Ships,2208,110
472,China Ping An,2019,Goods in Transit,1653,148
473,China Ping An,2019,Property Damage,76158,9949
474,China Ping An,2019,Employees Compensation,38993,38712
475,China Ping An,2019,Owners Corporation Liability,1438,106
476,China Ping An,2019,Other Business,20246,13270
477,China Ping An,2019,Pecuniary Loss,0,0
478,China Ping An,2019,Non-Proportional Treaty Reinsurance,0,0
479,China Ping An,2019,Proportional Treaty Reinsurance,0,0
480,China Ping An,2019,Total,303188,172142
481,CTPI(HK),2019,Accident & Health,177347,158044
482,CTPI(HK),2019,Motor Vehicle,749271,655470
483,CTPI(HK),2019,Aircraft,19750,1642
484,CTPI(HK),2019,Ships,122842,54437
485,CTPI(HK),2019,Goods in Transit,14235,2486
486,CTPI(HK),2019,Property Damage,285102,27726
487,CTPI(HK),2019,Employees Compensation,206904,168542
488,CTPI(HK),2019,Owners Corporation Liability,986,986
489,CTPI(HK),2019,Other Business,30397,16050
490,CTPI(HK),2019,Pecuniary Loss,13131,13131
491,CTPI(HK),2019,Non-Proportional Treaty Reinsurance,0,0
492,CTPI(HK),2019,Proportional Treaty Reinsurance,0,0
493,CTPI(HK),2019,Total,1619965,1098514
494,Chong Hing,2019,Accident & Health,269,206
495,Chong Hing,2019,Motor Vehicle,565,569
496,Chong Hing,2019,Aircraft,0,0
497,Chong Hing,2019,Ships,0,0
498,Chong Hing,2019,Goods in Transit,987,970
499,Chong Hing,2019,Property Damage,4555,4030
500,Chong Hing,2019,Employees Compensation,8170,8163
501,Chong Hing,2019,Owners Corporation Liability,0,0
502,Chong Hing,2019,Other Business,805,805
503,Chong Hing,2019,Pecuniary Loss,0,0
504,Chong Hing,2019,Non-Proportional Treaty Reinsurance,0,0
505,Chong Hing,2019,Proportional Treaty Reinsurance,0,0
506,Chong Hing,2019,Total,15351,14743
507,Chubb Insurance,2019,Accident & Health,98305,30622
508,Chubb Insurance,2019,Motor Vehicle,6,2
509,Chubb Insurance,2019,Aircraft,0,0
510,Chubb Insurance,2019,Ships,16672,16569
511,Chubb Insurance,2019,Goods in Transit,74929,28680
512,Chubb Insurance,2019,Property Damage,314000,59588
513,Chubb Insurance,2019,Employees Compensation,37356,31941
514,Chubb Insurance,2019,Owners Corporation Liability,1,1
515,Chubb Insurance,2019,Other Business,145131,114052
516,Chubb Insurance,2019,Pecuniary Loss,0,0
517,Chubb Insurance,2019,Non-Proportional Treaty Reinsurance,0,0
518,Chubb Insurance,2019,Proportional Treaty Reinsurance,0,0
519,Chubb Insurance,2019,Total,686400,281455
520,CIGNA Worldwide General,2019,Accident & Health,605120,597795
521,CIGNA Worldwide General,2019,Motor Vehicle,0,0
522,CIGNA Worldwide General,2019,Aircraft,0,0
523,CIGNA Worldwide General,2019,Ships,0,0
524,CIGNA Worldwide General,2019,Goods in Transit,0,0
525,CIGNA Worldwide General,2019,Property Damage,0,0
526,CIGNA Worldwide General,2019,Employees Compensation,0,0
527,CIGNA Worldwide General,2019,Owners Corporation Liability,0,0
528,CIGNA Worldwide General,2019,Other Business,0,0
529,CIGNA Worldwide General,2019,Pecuniary Loss,0,0
530,CIGNA Worldwide General,2019,Non-Proportional Treaty Reinsurance,0,0
531,CIGNA Worldwide General,2019,Proportional Treaty Reinsurance,0,0
532,CIGNA Worldwide General,2019,Total,605120,597795
533,CMBWL,2019,Accident & Health,12586,11434
534,CMBWL,2019,Motor Vehicle,91868,65671
535,CMBWL,2019,Aircraft,0,0
536,CMBWL,2019,Ships,6029,1281
537,CMBWL,2019,Goods in Transit,45,45
538,CMBWL,2019,Property Damage,14830,4695
539,CMBWL,2019,Employees Compensation,171753,161978
540,CMBWL,2019,Owners Corporation Liability,52,52
541,CMBWL,2019,Other Business,15145,8134
542,CMBWL,2019,Pecuniary Loss,534,38
543,CMBWL,2019,Non-Proportional Treaty Reinsurance,0,0
544,CMBWL,2019,Proportional Treaty Reinsurance,0,0
545,CMBWL,2019,Total,312842,253328
546,CNOOC Insurance,2019,Accident & Health,809,809
547,CNOOC Insurance,2019,Motor Vehicle,0,0
548,CNOOC Insurance,2019,Aircraft,0,0
549,CNOOC Insurance,2019,Ships,19115,2910
550,CNOOC Insurance,2019,Goods in Transit,0,0
551,CNOOC Insurance,2019,Property Damage,225707,35875
552,CNOOC Insurance,2019,Employees Compensation,0,0
553,CNOOC Insurance,2019,Owners Corporation Liability,0,0
554,CNOOC Insurance,2019,Other Business,0,0
555,CNOOC Insurance,2019,Pecuniary Loss,0,0
556,CNOOC Insurance,2019,Non-Proportional Treaty Reinsurance,0,0
557,CNOOC Insurance,2019,Proportional Treaty Reinsurance,0,0
558,CNOOC Insurance,2019,Total,245631,39594
559,COFACE,2019,Accident & Health,0,0
560,COFACE,2019,Motor Vehicle,0,0
561,COFACE,2019,Aircraft,0,0
562,COFACE,2019,Ships,0,0
563,COFACE,2019,Goods in Transit,0,0
564,COFACE,2019,Property Damage,0,0
565,COFACE,2019,Employees Compensation,0,0
566,COFACE,2019,Owners Corporation Liability,0,0
567,COFACE,2019,Other Business,0,0
568,COFACE,2019,Pecuniary Loss,302303,86575
569,COFACE,2019,Non-Proportional Treaty Reinsurance,0,0
570,COFACE,2019,Proportional Treaty Reinsurance,0,0
571,COFACE,2019,Total,302303,86575
572,Concord,2019,Accident & Health,140,140
573,Concord,2019,Motor Vehicle,281,281
574,Concord,2019,Aircraft,0,0
575,Concord,2019,Ships,0,0
576,Concord,2019,Goods in Transit,2,0
577,Concord,2019,Property Damage,9256,2264
578,Concord,2019,Employees Compensation,1286,1208
579,Concord,2019,Owners Corporation Liability,0,0
580,Concord,2019,Other Business,1666,1691
581,Concord,2019,Pecuniary Loss,12,1
582,Concord,2019,Non-Proportional Treaty Reinsurance,0,0
583,Concord,2019,Proportional Treaty Reinsurance,0,0
584,Concord,2019,Total,12643,5585
585,Dah Sing Insurance (1976),2019,Accident & Health,10741,4464
586,Dah Sing Insurance (1976),2019,Motor Vehicle,125687,51429
587,Dah Sing Insurance (1976),2019,Aircraft,0,0
588,Dah Sing Insurance (1976),2019,Ships,6,1
589,Dah Sing Insurance (1976),2019,Goods in Transit,191,188
590,Dah Sing Insurance (1976),2019,Property Damage,80415,57001
591,Dah Sing Insurance (1976),2019,Employees Compensation,108876,53097
592,Dah Sing Insurance (1976),2019,Owners Corporation Liability,124,124
593,Dah Sing Insurance (1976),2019,Other Business,16965,7787
594,Dah Sing Insurance (1976),2019,Pecuniary Loss,157,112
595,Dah Sing Insurance (1976),2019,Non-Proportional Treaty Reinsurance,0,0
596,Dah Sing Insurance (1976),2019,Proportional Treaty Reinsurance,0,0
597,Dah Sing Insurance (1976),2019,Total,343162,174203
598,East Point Re,2019,Accident & Health,0,0
599,East Point Re,2019,Motor Vehicle,0,0
600,East Point Re,2019,Aircraft,0,0
601,East Point Re,2019,Ships,0,0
602,East Point Re,2019,Goods in Transit,0,0
603,East Point Re,2019,Property Damage,0,0
604,East Point Re,2019,Employees Compensation,0,0
605,East Point Re,2019,Owners Corporation Liability,0,0
606,East Point Re,2019,Other Business,0,0
607,East Point Re,2019,Pecuniary Loss,0,0
608,East Point Re,2019,Non-Proportional Treaty Reinsurance,0,0
609,East Point Re,2019,Proportional Treaty Reinsurance,0,0
610,East Point Re,2019,Total,0,0
611,EULER HERMES,2019,Accident & Health,0,0
612,EULER HERMES,2019,Motor Vehicle,0,0
613,EULER HERMES,2019,Aircraft,0,0
614,EULER HERMES,2019,Ships,0,0
615,EULER HERMES,2019,Goods in Transit,0,0
616,EULER HERMES,2019,Property Damage,0,0
617,EULER HERMES,2019,Employees Compensation,0,0
618,EULER HERMES,2019,Owners Corporation Liability,0,0
619,EULER HERMES,2019,Other Business,0,0
620,EULER HERMES,2019,Pecuniary Loss,176440,53858
621,EULER HERMES,2019,Non-Proportional Treaty Reinsurance,0,0
622,EULER HERMES,2019,Proportional Treaty Reinsurance,0,0
623,EULER HERMES,2019,Total,176440,53858
624,Factory Mutual,2019,Accident & Health,0,0
625,Factory Mutual,2019,Motor Vehicle,0,0
626,Factory Mutual,2019,Aircraft,0,0
627,Factory Mutual,2019,Ships,0,0
628,Factory Mutual,2019,Goods in Transit,0,0
629,Factory Mutual,2019,Property Damage,6810,3072
630,Factory Mutual,2019,Employees Compensation,0,0
631,Factory Mutual,2019,Owners Corporation Liability,0,0
632,Factory Mutual,2019,Other Business,0,0
633,Factory Mutual,2019,Pecuniary Loss,0,0
634,Factory Mutual,2019,Non-Proportional Treaty Reinsurance,0,0
635,Factory Mutual,2019,Proportional Treaty Reinsurance,0,0
636,Factory Mutual,2019,Total,6810,3072
637,Falcon Insurance,2019,Accident & Health,21356,21356
638,Falcon Insurance,2019,Motor Vehicle,55010,42529
639,Falcon Insurance,2019,Aircraft,0,0
640,Falcon Insurance,2019,Ships,60489,33110
641,Falcon Insurance,2019,Goods in Transit,2814,1739
642,Falcon Insurance,2019,Property Damage,87810,5323
643,Falcon Insurance,2019,Employees Compensation,61658,58570
644,Falcon Insurance,2019,Owners Corporation Liability,0,0
645,Falcon Insurance,2019,Other Business,7004,3911
646,Falcon Insurance,2019,Pecuniary Loss,7917,744
647,Falcon Insurance,2019,Non-Proportional Treaty Reinsurance,0,0
648,Falcon Insurance,2019,Proportional Treaty Reinsurance,0,0
649,Falcon Insurance,2019,Total,304058,167282
650,First American Title,2019,Accident & Health,0,0
651,First American Title,2019,Motor Vehicle,0,0
652,First American Title,2019,Aircraft,0,0
653,First American Title,2019,Ships,0,0
654,First American Title,2019,Goods in Transit,0,0
655,First American Title,2019,Property Damage,0,0
656,First American Title,2019,Employees Compensation,0,0
657,First American Title,2019,Owners Corporation Liability,0,0
658,First American Title,2019,Other Business,0,0
659,First American Title,2019,Pecuniary Loss,29,29
660,First American Title,2019,Non-Proportional Treaty Reinsurance,0,0
661,First American Title,2019,Proportional Treaty Reinsurance,0,0
662,First American Title,2019,Total,29,29
663,FWD General,2019,Accident & Health,209666,43837
664,FWD General,2019,Motor Vehicle,35956,32347
665,FWD General,2019,Aircraft,0,0
666,FWD General,2019,Ships,956,951
667,FWD General,2019,Goods in Transit,1734,1726
668,FWD General,2019,Property Damage,17798,2596
669,FWD General,2019,Employees Compensation,54958,53694
670,FWD General,2019,Owners Corporation Liability,458,458
671,FWD General,2019,Other Business,5171,4841
672,FWD General,2019,Pecuniary Loss,17,2
673,FWD General,2019,Non-Proportional Treaty Reinsurance,0,0
674,FWD General,2019,Proportional Treaty Reinsurance,0,0
675,FWD General,2019,Total,326714,140452
676,GAN,2019,Accident & Health,0,0
677,GAN,2019,Motor Vehicle,488,340
678,GAN,2019,Aircraft,0,0
679,GAN,2019,Ships,196,196
680,GAN,2019,Goods in Transit,0,0
681,GAN,2019,Property Damage,99,5
682,GAN,2019,Employees Compensation,6522,6480
683,GAN,2019,Owners Corporation Liability,0,0
684,GAN,2019,Other Business,18,-28
685,GAN,2019,Pecuniary Loss,0,0
686,GAN,2019,Non-Proportional Treaty Reinsurance,0,0
687,GAN,2019,Proportional Treaty Reinsurance,0,0
688,GAN,2019,Total,7323,6993
689,Gard M&E Ltd.,2019,Accident & Health,0,0
690,Gard M&E Ltd.,2019,Motor Vehicle,0,0
691,Gard M&E Ltd.,2019,Aircraft,0,0
692,Gard M&E Ltd.,2019,Ships,12661,9062
693,Gard M&E Ltd.,2019,Goods in Transit,0,0
694,Gard M&E Ltd.,2019,Property Damage,0,0
695,Gard M&E Ltd.,2019,Employees Compensation,0,0
696,Gard M&E Ltd.,2019,Owners Corporation Liability,0,0
697,Gard M&E Ltd.,2019,Other Business,0,0
698,Gard M&E Ltd.,2019,Pecuniary Loss,0,0
699,Gard M&E Ltd.,2019,Non-Proportional Treaty Reinsurance,0,0
700,Gard M&E Ltd.,2019,Proportional Treaty Reinsurance,0,0
701,Gard M&E Ltd.,2019,Total,12661,9062
702,GenRe,2019,Accident & Health,1722,1497
703,GenRe,2019,Motor Vehicle,0,0
704,GenRe,2019,Aircraft,0,0
705,GenRe,2019,Ships,0,0
706,GenRe,2019,Goods in Transit,0,0
707,GenRe,2019,Property Damage,-9895,-7916
708,GenRe,2019,Employees Compensation,0,0
709,GenRe,2019,Owners Corporation Liability,0,0
710,GenRe,2019,Other Business,5898,5898
711,GenRe,2019,Pecuniary Loss,0,0
712,GenRe,2019,Non-Proportional Treaty Reinsurance,0,0
713,GenRe,2019,Proportional Treaty Reinsurance,0,0
714,GenRe,2019,Total,-2275,-521
715,Hang Seng Insurance,2019,Accident & Health,0,0
716,Hang Seng Insurance,2019,Motor Vehicle,0,0
717,Hang Seng Insurance,2019,Aircraft,0,0
718,Hang Seng Insurance,2019,Ships,0,0
719,Hang Seng Insurance,2019,Goods in Transit,0,0
720,Hang Seng Insurance,2019,Property Damage,0,0
721,Hang Seng Insurance,2019,Employees Compensation,0,0
722,Hang Seng Insurance,2019,Owners Corporation Liability,0,0
723,Hang Seng Insurance,2019,Other Business,0,0
724,Hang Seng Insurance,2019,Pecuniary Loss,0,0
725,Hang Seng Insurance,2019,Non-Proportional Treaty Reinsurance,0,0
726,Hang Seng Insurance,2019,Proportional Treaty Reinsurance,0,0
727,Hang Seng Insurance,2019,Total,0,0
728,Hannover Re,2019,Accident & Health,192238,96119
729,Hannover Re,2019,Motor Vehicle,0,0
730,Hannover Re,2019,Aircraft,0,0
731,Hannover Re,2019,Ships,0,0
732,Hannover Re,2019,Goods in Transit,0,0
733,Hannover Re,2019,Property Damage,0,0
734,Hannover Re,2019,Employees Compensation,0,0
735,Hannover Re,2019,Owners Corporation Liability,0,0
736,Hannover Re,2019,Other Business,0,0
737,Hannover Re,2019,Pecuniary Loss,0,0
738,Hannover Re,2019,Non-Proportional Treaty Reinsurance,0,0
739,Hannover Re,2019,Proportional Treaty Reinsurance,0,0
740,Hannover Re,2019,Total,192238,96119
741,HDI,2019,Accident & Health,0,0
742,HDI,2019,Motor Vehicle,32,0
743,HDI,2019,Aircraft,0,0
744,HDI,2019,Ships,0,0
745,HDI,2019,Goods in Transit,42501,5992
746,HDI,2019,Property Damage,108046,12519
747,HDI,2019,Employees Compensation,0,0
748,HDI,2019,Owners Corporation Liability,0,0
749,HDI,2019,Other Business,33326,5026
750,HDI,2019,Pecuniary Loss,177524,4029
751,HDI,2019,Non-Proportional Treaty Reinsurance,0,0
752,HDI,2019,Proportional Treaty Reinsurance,0,0
753,HDI,2019,Total,361429,27566
754,HKMCI,2019,Accident & Health,0,0
755,HKMCI,2019,Motor Vehicle,0,0
756,HKMCI,2019,Aircraft,0,0
757,HKMCI,2019,Ships,0,0
758,HKMCI,2019,Goods in Transit,0,0
759,HKMCI,2019,Property Damage,0,0
760,HKMCI,2019,Employees Compensation,0,0
761,HKMCI,2019,Owners Corporation Liability,0,0
762,HKMCI,2019,Other Business,0,0
763,HKMCI,2019,Pecuniary Loss,2446,-1003
764,HKMCI,2019,Non-Proportional Treaty Reinsurance,0,0
765,HKMCI,2019,Proportional Treaty Reinsurance,0,0
766,HKMCI,2019,Total,2446,-1003
767,Hong Leong Insurance (Asia),2019,Accident & Health,32823,19191
768,Hong Leong Insurance (Asia),2019,Motor Vehicle,0,0
769,Hong Leong Insurance (Asia),2019,Aircraft,0,0
770,Hong Leong Insurance (Asia),2019,Ships,0,0
771,Hong Leong Insurance (Asia),2019,Goods in Transit,1,1
772,Hong Leong Insurance (Asia),2019,Property Damage,52827,6401
773,Hong Leong Insurance (Asia),2019,Employees Compensation,10054,6013
774,Hong Leong Insurance (Asia),2019,Owners Corporation Liability,0,0
775,Hong Leong Insurance (Asia),2019,Other Business,4545,2744
776,Hong Leong Insurance (Asia),2019,Pecuniary Loss,115,11
777,Hong Leong Insurance (Asia),2019,Non-Proportional Treaty Reinsurance,0,0
778,Hong Leong Insurance (Asia),2019,Proportional Treaty Reinsurance,0,0
779,Hong Leong Insurance (Asia),2019,Total,100365,34361
780,HSBC Insurance,2019,Accident & Health,0,0
781,HSBC Insurance,2019,Motor Vehicle,0,0
782,HSBC Insurance,2019,Aircraft,0,0
783,HSBC Insurance,2019,Ships,0,0
784,HSBC Insurance,2019,Goods in Transit,0,0
785,HSBC Insurance,2019,Property Damage,0,0
786,HSBC Insurance,2019,Employees Compensation,0,0
787,HSBC Insurance,2019,Owners Corporation Liability,0,0
788,HSBC Insurance,2019,Other Business,0,0
789,HSBC Insurance,2019,Pecuniary Loss,0,0
790,HSBC Insurance,2019,Non-Proportional Treaty Reinsurance,0,0
791,HSBC Insurance,2019,Proportional Treaty Reinsurance,0,0
792,HSBC Insurance,2019,Total,0,0
793,Liberty Int'l,2019,Accident & Health,475133,464067
794,Liberty Int'l,2019,Motor Vehicle,64143,63107
795,Liberty Int'l,2019,Aircraft,0,0
796,Liberty Int'l,2019,Ships,1192,1192
797,Liberty Int'l,2019,Goods in Transit,929,929
798,Liberty Int'l,2019,Property Damage,52345,15647
799,Liberty Int'l,2019,Employees Compensation,31509,30737
800,Liberty Int'l,2019,Owners Corporation Liability,0,0
801,Liberty Int'l,2019,Other Business,4250,3859
802,Liberty Int'l,2019,Pecuniary Loss,760,81
803,Liberty Int'l,2019,Non-Proportional Treaty Reinsurance,0,0
804,Liberty Int'l,2019,Proportional Treaty Reinsurance,0,0
805,Liberty Int'l,2019,Total,630261,579619
806,LSMHK,2019,Accident & Health,0,0
807,LSMHK,2019,Motor Vehicle,0,0
808,LSMHK,2019,Aircraft,0,0
809,LSMHK,2019,Ships,2693,2693
810,LSMHK,2019,Goods in Transit,3151,3149
811,LSMHK,2019,Property Damage,6,6
812,LSMHK,2019,Employees Compensation,0,0
813,LSMHK,2019,Owners Corporation Liability,0,0
814,LSMHK,2019,Other Business,62802,25838
815,LSMHK,2019,Pecuniary Loss,0,0
816,LSMHK,2019,Non-Proportional Treaty Reinsurance,0,0
817,LSMHK,2019,Proportional Treaty Reinsurance,0,0
818,LSMHK,2019,Total,68652,31686
819,Lloyd's,2019,Accident & Health,51761,44963
820,Lloyd's,2019,Motor Vehicle,56977,46537
821,Lloyd's,2019,Aircraft,0,0
822,Lloyd's,2019,Ships,115529,93716
823,Lloyd's,2019,Goods in Transit,81886,71474
824,Lloyd's,2019,Property Damage,141029,114800
825,Lloyd's,2019,Employees Compensation,26,19
826,Lloyd's,2019,Owners Corporation Liability,0,0
827,Lloyd's,2019,Other Business,113356,84253
828,Lloyd's,2019,Pecuniary Loss,9554,6863
829,Lloyd's,2019,Non-Proportional Treaty Reinsurance,0,0
830,Lloyd's,2019,Proportional Treaty Reinsurance,0,0
831,Lloyd's,2019,Total,570118,462625
832,London Steam-Ship,2019,Accident & Health,0,0
833,London Steam-Ship,2019,Motor Vehicle,0,0
834,London Steam-Ship,2019,Aircraft,0,0
835,London Steam-Ship,2019,Ships,25619,2562
836,London Steam-Ship,2019,Goods in Transit,0,0
837,London Steam-Ship,2019,Property Damage,0,0
838,London Steam-Ship,2019,Employees Compensation,0,0
839,London Steam-Ship,2019,Owners Corporation Liability,0,0
840,London Steam-Ship,2019,Other Business,0,0
841,London Steam-Ship,2019,Pecuniary Loss,0,0
842,London Steam-Ship,2019,Non-Proportional Treaty Reinsurance,0,0
843,London Steam-Ship,2019,Proportional Treaty Reinsurance,0,0
844,London Steam-Ship,2019,Total,25619,2562
845,Min Xin,2019,Accident & Health,798,795
846,Min Xin,2019,Motor Vehicle,6888,5689
847,Min Xin,2019,Aircraft,0,0
848,Min Xin,2019,Ships,0,0
849,Min Xin,2019,Goods in Transit,0,0
850,Min Xin,2019,Property Damage,0,0
851,Min Xin,2019,Employees Compensation,4826,3799
852,Min Xin,2019,Owners Corporation Liability,0,0
853,Min Xin,2019,Other Business,26,22
854,Min Xin,2019,Pecuniary Loss,0,0
855,Min Xin,2019,Non-Proportional Treaty Reinsurance,0,0
856,Min Xin,2019,Proportional Treaty Reinsurance,0,0
857,Min Xin,2019,Total,12538,10305
858,MSIG Insurance,2019,Accident & Health,109645,105167
859,MSIG Insurance,2019,Motor Vehicle,78376,76457
860,MSIG Insurance,2019,Aircraft,0,0
861,MSIG Insurance,2019,Ships,857,334
862,MSIG Insurance,2019,Goods in Transit,30804,17600
863,MSIG Insurance,2019,Property Damage,84699,35136
864,MSIG Insurance,2019,Employees Compensation,120118,118413
865,MSIG Insurance,2019,Owners Corporation Liability,459,422
866,MSIG Insurance,2019,Other Business,42320,22550
